国家/地区,点击次数,展示,点击率,排名
牙买加,2,39,5.13%,24.54
特立尼达和多巴哥,2,33,6.06%,39.21
塞拉利昂,2,25,8%,9.76
科威特,2,25,8%,30.48
乌克兰,1,400,0.25%,48.49
台湾,1,315,0.32%,52.75
哥伦比亚,1,145,0.69%,54.26
立陶宛,1,143,0.7%,48.48
未知地区,1,126,0.79%,24.79
埃塞俄比亚,1,116,0.86%,21.66
保加利亚,1,109,0.92%,36.36
沙特阿拉伯,1,106,0.94%,39.41
捷克,1,94,1.06%,34.43
塞浦路斯,1,92,1.09%,52.36
比利时,1,78,1.28%,35.37
坦桑尼亚,1,75,1.33%,11.99
爱尔兰,1,75,1.33%,24.99
哈萨克斯坦,1,71,1.41%,44.18
巴布亚新几内亚,1,67,1.49%,9.76
克罗地亚,1,62,1.61%,21.77
奥地利,1,55,1.82%,47.35
津巴布韦,1,54,1.85%,16.72
委内瑞拉,1,54,1.85%,39.2
挪威,1,54,1.85%,43.41
丹麦,1,45,2.22%,36.98
白俄罗斯,1,45,2.22%,45.71
多米尼加共和国,1,38,2.63%,41.97
亚美尼亚,1,30,3.33%,36.37
阿曼,1,29,3.45%,23
安哥拉,1,22,4.55%,21.32
利比里亚,1,18,5.56%,13.28
纳米比亚,1,16,6.25%,8.81
斐济,1,14,7.14%,7.14
斯威士兰,1,13,7.69%,18.23
卢旺达,1,11,9.09%,4.45
澳门,1,8,12.5%,29.38
布基纳法索,1,5,20%,6.8
科摩罗,1,5,20%,7
留尼汪岛,1,4,25%,27.5
法属波利尼西亚,1,1,100%,61
日本,0,165,0%,47.04
匈牙利,0,145,0%,32.72
希腊,0,128,0%,22.84
瑞典,0,104,0%,46.33
巴勒斯坦,0,97,0%,55.34
中国香港,0,84,0%,38.19
秘鲁,0,81,0%,45.26
约旦,0,81,0%,45.86
柬埔寨,0,77,0%,39.08
格鲁吉亚,0,58,0%,45.98
智利,0,58,0%,48.6
突尼斯,0,53,0%,35.53
乌兹别克斯坦,0,53,0%,36.4
拉脱维亚,0,49,0%,37.96
老挝,0,46,0%,33.85
摩尔多瓦,0,38,0%,42.03
卡塔尔,0,35,0%,23.29
阿塞拜疆,0,29,0%,38.59
马达加斯加,0,28,0%,27.93
叙利亚,0,27,0%,20.96
斯洛文尼亚,0,27,0%,44.44
莫桑比克,0,26,0%,9.15
博茨瓦纳,0,25,0%,12.68
玻利维亚,0,23,0%,37.3
危地马拉,0,23,0%,39.04
阿尔巴尼亚,0,23,0%,39.7
也门,0,22,0%,21.23
乌拉圭,0,22,0%,34.41
海地,0,21,0%,17.62
马其顿,0,21,0%,35.62
波斯尼亚和黑塞哥维那,0,20,0%,32.2
阿富汗,0,19,0%,9.26
洪都拉斯,0,19,0%,33.53
科特迪瓦,0,19,0%,36.26
马拉维,0,18,0%,5.94
蒙古,0,18,0%,33.78
哥斯达黎加,0,18,0%,47.94
刚果 - 金沙萨,0,17,0%,14.53
利比亚,0,17,0%,47.06
不丹,0,16,0%,11.12
毛里求斯,0,16,0%,20.81
苏丹,0,16,0%,26.62
爱沙尼亚,0,15,0%,45.8
吉尔吉斯斯坦,0,14,0%,53.5
科索沃,0,13,0%,32
萨尔瓦多,0,13,0%,35.69
巴巴多斯,0,13,0%,37.85
刚果 - 布拉柴维尔,0,12,0%,20.83
黑山,0,12,0%,22.42
巴拉圭,0,12,0%,24.58
塞内加尔,0,12,0%,28.92
巴拿马,0,12,0%,37.25
巴林,0,11,0%,26.55
南苏丹,0,10,0%,7.2
尼加拉瓜,0,10,0%,35.8
索马里,0,9,0%,8.44
马里,0,9,0%,20.67
多哥,0,9,0%,25.11
马尔代夫,0,8,0%,13.12
文莱,0,8,0%,23.12
冈比亚,0,8,0%,29
伯利兹,0,8,0%,35.5
巴哈马,0,8,0%,37.25
佛得角,0,7,0%,8.71
波多黎各,0,7,0%,23
圣卢西亚,0,7,0%,40.14
塞舌尔,0,6,0%,14.33
圭亚那,0,6,0%,36.83
冰岛,0,6,0%,47.5
莱索托,0,5,0%,11.6
古巴,0,5,0%,14
吉布提,0,4,0%,6.5
关岛,0,4,0%,7
几内亚,0,4,0%,10.25
所罗门群岛,0,4,0%,14.25
贝宁,0,4,0%,24.25
马耳他,0,4,0%,29.5
马提尼克,0,4,0%,38.25
圣文森特和格林纳丁斯,0,4,0%,38.25
北马里亚纳群岛,0,4,0%,61.25
厄立特里亚,0,3,0%,2.67
尼日尔,0,3,0%,3.33
基里巴斯,0,3,0%,8.67
帕劳,0,3,0%,8.67
密克罗尼西亚,0,3,0%,9.33
库拉索,0,3,0%,14
瓜德罗普,0,3,0%,32
格林纳达,0,3,0%,37
加蓬,0,3,0%,63.33
百慕大,0,3,0%,64.33
瑙鲁,0,2,0%,11
东帝汶,0,2,0%,18.5
卢森堡,0,2,0%,27
格恩西岛,0,2,0%,29.5
塔吉克斯坦,0,2,0%,36.5
多米尼加,0,2,0%,39.5
安提瓜和巴布达,0,2,0%,44.5
法罗群岛,0,2,0%,45
圣基茨和尼维斯,0,2,0%,52
土库曼斯坦,0,1,0%,1
苏里南,0,1,0%,6
泽西岛,0,1,0%,8
纽埃,0,1,0%,11
美属维尔京群岛,0,1,0%,12
瓦努阿图,0,1,0%,12
库克群岛,0,1,0%,16
摩纳哥,0,1,0%,26
荷属圣马丁岛,0,1,0%,27
开曼群岛,0,1,0%,64
安道尔,0,1,0%,81
几内亚比绍,0,1,0%,93
英属维尔京群岛,0,1,0%,96
